SWIM Name,File Name
Bzone,alpha2beta.csv
PECASName,alpha2beta.csv
ALDRegion,alpha2beta.csv
STATEFIPS,alpha2beta.csv
COUNTYFIPS,alpha2beta.csv
PUMA2000,alpha2beta.csv
PUMA1990,alpha2beta.csv
HourPark,alpha2beta.csv
DayPark,alpha2beta.csv
LUIntensityCode,alpha2beta.csv
MPOmodeledzones,alpha2beta.csv
ACT,alpha2beta.csv
Fare,alpha2beta.csv
State,alpha2beta.csv
COUNTY,alpha2beta.csv
GridAcres,alpha2beta.csv
MPOcalibrationzones,alpha2beta.csv
HPMS,alpha2beta.csv
AreaType,alpha2beta.csv
NorthColumbia,alpha2beta.csv
MFG_FOOD_HI,ActivityConstraintsI.csv
MFG_FOOD_LI,ActivityConstraintsI.csv
MFG_HTEC_HI,ActivityConstraintsI.csv
MFG_HTEC_LI,ActivityConstraintsI.csv
MFG_HVTW_HI,ActivityConstraintsI.csv
MFG_HVTW_LI,ActivityConstraintsI.csv
MFG_LVTW_HI,ActivityConstraintsI.csv
MFG_OFFC_OFF,ActivityConstraintsI.csv
MFG_WDPPR_HI,ActivityConstraintsI.csv
RES_AGMIN_AG,ActivityConstraintsI.csv
RES_FORST_LOG,ActivityConstraintsI.csv
RES_OFFC_OFF,ActivityConstraintsI.csv
RET_AUTO_RET,ActivityConstraintsI.csv
RET_NSTOR_OFF,ActivityConstraintsI.csv
RET_STOR_OFF,ActivityConstraintsI.csv
RET_STOR_RET,ActivityConstraintsI.csv
SERV_BUS_OFF,ActivityConstraintsI.csv
SERV_HOME_XXX,ActivityConstraintsI.csv
SERV_NONP_OFF_INST,ActivityConstraintsI.csv
SERV_SITE_LI,ActivityConstraintsI.csv
SERV_STOR_RET,ActivityConstraintsI.csv
SERV_TECH_OFF,ActivityConstraintsI.csv
TRNS_TRNS_OFF,ActivityConstraintsI.csv
TRNS_TRNS_WARE,ActivityConstraintsI.csv
UTL_OTHR_OFF,ActivityConstraintsI.csv
UTL_OTHR_OFF_LI,ActivityConstraintsI.csv
WHSL_OFFC_OFF,ActivityConstraintsI.csv
WHSL_WHSL_WARE,ActivityConstraintsI.csv
CNST_MAIN_XXX,ActivityConstraintsI.csv
CNST_NRES_XXX,ActivityConstraintsI.csv
CNST_OFFC_OFF,ActivityConstraintsI.csv
CNST_OTHR_XXX,ActivityConstraintsI.csv
CNST_RES_XXX,ActivityConstraintsI.csv
ENGY_ELEC_HI,ActivityConstraintsI.csv
ENGY_NGAS_HI,ActivityConstraintsI.csv
ENGY_OFFC_OFF,ActivityConstraintsI.csv
ENGY_PTRL_HI,ActivityConstraintsI.csv
ENT_ENT_RET,ActivityConstraintsI.csv
FIRE_FNIN_OFF,ActivityConstraintsI.csv
FIRE_REAL_OFF,ActivityConstraintsI.csv
GOV_ADMN_GOV,ActivityConstraintsI.csv
GOV_OFFC_OFF,ActivityConstraintsI.csv
HIED_HIED_OFF_INST,ActivityConstraintsI.csv
HLTH_CARE_INST,ActivityConstraintsI.csv
HLTH_HOSP_HOSP,ActivityConstraintsI.csv
HLTH_OTHR_OFF_LI,ActivityConstraintsI.csv
HOSP_ACC_ACC,ActivityConstraintsI.csv
HOSP_EAT_RET_ACC,ActivityConstraintsI.csv
INFO_INFO_OFF,ActivityConstraintsI.csv
INFO_INFO_OFF_LI,ActivityConstraintsI.csv
K12_K12_K12,ActivityConstraintsI.csv
K12_K12_OFF,ActivityConstraintsI.csv
HH0to8k1to2,ActivityConstraintsI.csv
HH0to8k3plus,ActivityConstraintsI.csv
HH106kUp1to2,ActivityConstraintsI.csv
HH106kUp3plus,ActivityConstraintsI.csv
HH15to23k1to2,ActivityConstraintsI.csv
HH15to23k3plus,ActivityConstraintsI.csv
HH23to32k1to2,ActivityConstraintsI.csv
HH23to32k3plus,ActivityConstraintsI.csv
HH32to46k1to2,ActivityConstraintsI.csv
HH32to46k3plus,ActivityConstraintsI.csv
HH46to61k1to2,ActivityConstraintsI.csv
HH46to61k3plus,ActivityConstraintsI.csv
HH61to76k1to2,ActivityConstraintsI.csv
HH61to76k3plus,ActivityConstraintsI.csv
HH76to106k1to2,ActivityConstraintsI.csv
HH76to106k3plus,ActivityConstraintsI.csv
HH8to15k1to2,ActivityConstraintsI.csv
HH8to15k3plus,ActivityConstraintsI.csv
ureslo,LandSQFTxZoning.csv
uresmed,LandSQFTxZoning.csv
uresmdh,LandSQFTxZoning.csv
ureshi,LandSQFTxZoning.csv
umix,LandSQFTxZoning.csv
umixhi,LandSQFTxZoning.csv
ucom,LandSQFTxZoning.csv
uindlt,LandSQFTxZoning.csv
uind,LandSQFTxZoning.csv
upub,LandSQFTxZoning.csv
uoth,LandSQFTxZoning.csv
ubigany,LandSQFTxZoning.csv
uany,LandSQFTxZoning.csv
unonindany,LandSQFTxZoning.csv
rres,LandSQFTxZoning.csv
rcntr,LandSQFTxZoning.csv
rcom,LandSQFTxZoning.csv
rind,LandSQFTxZoning.csv
rpub,LandSQFTxZoning.csv
rreserve,LandSQFTxZoning.csv
rany,LandSQFTxZoning.csv
rfor,LandSQFTxZoning.csv
rnatrs,LandSQFTxZoning.csv
xrec,LandSQFTxZoning.csv
xagfor,LandSQFTxZoning.csv
xcons,LandSQFTxZoning.csv
xhalo,LandSQFTxZoning.csv
xother,LandSQFTxZoning.csv
xother2,LandSQFTxZoning.csv
xwater,LandSQFTxZoning.csv
xtp,LandSQFTxZoning.csv
